date,Logistic Regression | Market,Logistic Regression | Market + Macro,Random Forest | Market,Random Forest | Market + Macro,XGBoost | Market,XGBoost | Market + Macro
2022-09-01,2.3552875484688927,2.4432493570922014,1.9556552944896335,2.898392515695946,2.5322008723236276,2.8297978672637063
2022-10-01,2.809493791372665,3.00025205776942,2.247033184998482,3.24411979275828,2.9338277712233896,3.2786259813221985
2022-11-01,2.802337947941824,2.9644081756160787,2.2431703816470456,3.1491839902237264,2.902228556472233,3.1311137441001518
2022-12-01,3.049174423056983,3.246420820482949,2.5895338366852014,3.4568434588840335,3.3503558669764115,3.485125738332437
2023-01-01,3.0758521759840862,3.2748243161607786,2.5735182263468097,3.4954497378227796,3.32963476524749,3.514776908488525
2023-02-01,3.412156410121119,3.6328835532655077,2.813648426320573,3.5911085801052454,3.553220863627879,3.7507953642809353
2023-03-01,3.4263671162269347,3.648013528063549,2.893617032682574,3.8025129573824534,3.771987342304604,3.9815472769240183
2023-04-01,3.5333239643634116,3.761889249982853,2.8456733831312433,3.628180648788731,3.8941232002409696,3.915577970978949
2023-05-01,3.6920215851216303,4.048443443741706,3.159409051786916,3.9051813722571005,4.208501980937528,4.206970752661917
2023-06-01,3.7258247248690637,4.0855098845338915,3.1999913024527835,3.8923383371852687,4.2625597112025,4.261008814473488
2023-07-01,3.6683497188430967,4.022486333354633,3.141678569047365,3.821409116969576,4.2464649466417725,4.152060325739449
2023-08-01,3.46147905803171,3.8923653424038442,3.0370329421335156,3.68697875217888,4.1262751201143955,4.011629234134167
2023-09-01,3.2656816636396364,3.672195010794777,2.9727731012529666,3.632152779775974,3.9043782585544005,3.9310879145535185
2023-10-01,3.578047460395276,4.023444225670968,3.2986452904578774,3.961239691520763,4.302892618899478,4.398076546886332
2023-11-01,3.766414462554138,4.235259226878162,3.448473872281437,4.074099695579774,4.464776113176976,4.689108941923521
2023-12-01,3.9076113725103103,4.362475863539826,3.3785541216083317,4.024104073616781,4.478526335134986,4.594034616224363
2024-01-01,3.8768594277030646,4.328144246551943,3.4043864055774073,4.151293337163898,4.516844813036441,4.69933429626774
2024-02-01,4.1425993182757,4.62481752034736,3.5666405026983368,4.349145247041741,4.732119018036762,4.9233060058425275
2024-03-01,3.921247080168208,4.3776988322204735,3.315203004200519,4.233763526664921,4.45084192233334,4.70350716582917
2024-04-01,3.8674651476597104,4.317656427770175,3.330585210605363,4.253407760925672,4.471493378379295,4.680934265544936
2024-05-01,3.8708594461331693,4.321445838679429,3.218874564329027,4.077192692486106,4.3714815061426355,4.691875504797342
2024-06-01,4.086860588920364,4.5625905386194345,3.303072218528453,4.059751514635169,4.4175552165294745,4.706359453582462
2024-07-01,4.0804308292585905,4.555412324447428,3.298895883245591,4.161079796028426,4.43454125664668,4.714688982278077
2024-08-01,3.975404398540766,4.438160319229235,3.2208556309661707,3.993304233876762,4.329635636505761,4.524591788004863
2024-09-01,3.7939151114110254,4.235544818577257,3.102660056792148,4.110038011230047,4.347400636429845,4.529784690036134
2024-10-01,3.7358909091618813,4.170766324074506,3.1145302407047355,4.141001031093329,4.364032959711009,4.428824259308056
