date,ticker,return_1m,index_return,target,return_lag1,ret_3m,ret_6m,vol_3m,vol_6m,excess_return,rank_ret_3m,inflation,unemployment,interest_rate
2011-10-01,SAN.PA,0.05288747540612171,0.09430831729837075,1,-0.014379963025804576,-0.11285364900799078,0.051575759733792914,0.03488413026841818,0.05735577258446716,-0.04142084189224904,0.85,3.0,7.7,1.5
2011-11-01,SAN.PA,0.0025021647262875035,-0.022970644106400262,1,0.05288747540612171,-0.03922322207799733,0.025130321229800634,0.06531889117051948,0.05155557142929037,0.025472808832687766,0.7,3.0,7.9,1.5
2011-12-01,SAN.PA,0.08946034941989467,-0.005955932261275332,0,0.0025021647262875035,0.041009677106604636,-0.002704536922530698,0.034996652323077915,0.04995967777926691,0.09541628168117,0.45,3.0,7.8,1.25
2012-01-01,SAN.PA,-0.004933689744869962,0.04321506601244929,0,0.08946034941989467,0.14484998955230388,0.03199634054431311,0.04366154015289699,0.05884724771941309,-0.04814875575731925,0.85,2.8,7.9,1.0
2012-02-01,SAN.PA,-0.017000325775808234,0.039496742936074414,1,-0.004933689744869962,0.08702882440131221,0.04780560232331488,0.05248373152187709,0.057790649375913584,-0.05649706871188265,0.7,2.7,8.0,1.0
2012-03-01,SAN.PA,0.04900020142896078,-0.013864869227704912,1,-0.017000325775808234,0.06752633389921647,0.10853601100582111,0.05829481637628285,0.04327422195312907,0.06286507065666569,0.3,2.7,7.9,1.0
2012-04-01,SAN.PA,-0.009788724972882856,-0.0689668086109515,1,0.04900020142896078,0.02706618590828258,0.17191617546058646,0.03514384230928944,0.04146084952106516,0.059178083638068646,0.25,2.7,7.6,1.0
2012-05-01,SAN.PA,-0.046132559029542275,-0.081290130544312,1,-0.009788724972882856,0.022211150680269687,0.1092399750815819,0.03620362469175705,0.04202549425051118,0.035157571514769725,0.6,2.6,7.6,1.0
2012-06-01,SAN.PA,0.13838852640944443,0.06879856594714395,1,-0.046132559029542275,-0.006921082573464354,0.06060525132575212,0.048005649413852526,0.049657612280945014,0.06958996046230048,0.8,2.4,8.3,1.0
2012-07-01,SAN.PA,0.11265483796383102,0.026934897377648648,0,0.13838852640944443,0.0824672424070193,0.10953342831530188,0.09774576126593354,0.06646832805524276,0.08571994058618237,1.0,2.4,8.0,1.0
2012-08-01,SAN.PA,-0.021363051691347446,0.04944274963576567,1,0.11265483796383102,0.20491080534373318,0.22712195602400287,0.09993638904867506,0.07504553626011916,-0.07080580132711312,0.95,2.4,8.1,0.75
2012-09-01,SAN.PA,0.019984720494941044,0.005551683340088598,1,-0.021363051691347446,0.229680312681928,0.22275923010846366,0.08577449521306521,0.07570158454819398,0.014433037154852446,0.75,2.6,8.3,0.75
2012-10-01,SAN.PA,0.02215532858253133,0.020120069844276944,0,0.019984720494941044,0.11127650676742462,0.19374374917444392,0.06862723424911166,0.07571815000968164,0.0020352587382543863,0.6,2.6,8.2,0.75
2012-11-01,SAN.PA,0.012385591739805024,0.02860239910466289,1,0.02215532858253133,0.02077699738612493,0.2256878027298581,0.024522775896096576,0.07325049259398174,-0.016216807364857866,0.35,2.5,8.2,0.75
2012-12-01,SAN.PA,0.03976103309806023,0.023562734352247316,0,0.012385591739805024,0.0545256408172774,0.2842059534992054,0.005130075621326542,0.06305609659534743,0.01619829874581291,0.35,2.2,8.5,0.75
2013-01-01,SAN.PA,0.006583373901987155,0.02543696174290666,1,0.03976103309806023,0.07430195342039658,0.1855784601878212,0.013873376055257233,0.04479327766583158,-0.018853587840919506,0.25,2.2,8.2,0.75
2013-02-01,SAN.PA,0.01001985124187943,-0.02568643946396687,1,0.006583373901987155,0.05872999873985241,0.07950699612597734,0.017719281358299754,0.02035067889597559,0.0357062907058463,0.35,2.0,8.0,0.75
2013-03-01,SAN.PA,0.09217413349106818,-0.0036187006588751514,1,0.01001985124187943,0.05636425824192681,0.11088989905920421,0.018244196997222545,0.011990831655174611,0.09579283414994333,0.7,1.9,8.1,0.75
2013-04-01,SAN.PA,0.049829655128625916,0.03352870016764076,0,0.09217413349106818,0.10877735863493476,0.18307931205533134,0.04845429735916589,0.03249206442276805,0.01630095496098516,0.8,1.7,8.4,0.75
2013-05-01,SAN.PA,-0.008531501817303777,0.021253647705798295,1,0.049829655128625916,0.15202363986157352,0.21075363860142593,0.04108365738581039,0.033028160462621095,-0.029785149523102072,0.85,1.2,8.4,0.5
2013-06-01,SAN.PA,-0.002864527299374142,-0.06031462975932278,0,-0.008531501817303777,0.13347228680239032,0.18983654504431713,0.050564652460517626,0.036797312265435006,0.05745010245994864,0.75,1.4,8.0,0.5
2013-07-01,SAN.PA,0.006907597732031201,0.06361348074882955,0,-0.002864527299374142,0.038433626011948,0.14721098464688276,0.03218388857282905,0.03896652414325199,-0.05670588301679835,0.45,1.6,8.1,0.5
2013-08-01,SAN.PA,-0.09330163077238218,-0.016899296211033366,0,0.006907597732031201,-0.004488431384646718,0.1475352084769268,0.00780998103615464,0.03893686382745743,-0.07640233456134882,0.3,1.6,8.0,0.5
2013-09-01,SAN.PA,0.031366089182057966,0.06312253672197365,0,-0.09330163077238218,-0.08925856033972512,0.04421372646266519,0.055251325157059564,0.062429412509759905,-0.03175644753991569,0.1,1.3,8.1,0.5
2013-10-01,SAN.PA,0.047619093909568866,0.060418593826237155,0,0.031366089182057966,-0.055027943858293016,-0.01659431784634502,0.06605824157526889,0.04950723603906409,-0.012799499916668289,0.05,1.1,8.2,0.5
2013-11-01,SAN.PA,-0.00891285073428194,0.006091996839489244,0,0.047619093909568866,-0.014316447680755351,-0.01880487906540207,0.07709826111981759,0.04904360031717783,-0.015004847573771185,0.1,0.7,7.9,0.5
2013-12-01,SAN.PA,-0.009249617089477469,0.007244158113695276,0,-0.00891285073428194,0.07007233235734489,-0.019186227982380233,0.029104449627368054,0.049052240317278985,-0.016493775203172745,0.35,0.9,8.2,0.25
2014-01-01,SAN.PA,-0.0560165362422117,-0.0305693274565777,0,-0.009249617089477469,0.029456626085809456,-0.02557131777248356,0.03273638258239718,0.0491127908844569,-0.025447208785634,0.35,0.8,8.1,0.25
2014-02-01,SAN.PA,0.03475263804643158,0.044881160096491124,1,-0.0560165362422117,-0.07417900406597111,-0.08849545174672646,0.027098632582494956,0.0528284199787263,-0.01012852205005954,0.2,0.8,8.2,0.25
2014-03-01,SAN.PA,0.0046462850157369395,0.0039279815269823715,1,0.03475263804643158,-0.030513515285257586,0.039558817072087304,0.0453916038218636,0.03873289427759352,0.0007183034887545681,0.25,0.7,8.1,0.25
